0,January,1,1,2005,20
1,February,2,1,2005,20
2,March,3,1,2005,20
3,April,4,2,2005,20
4,May,5,2,2005,20
5,June,6,2,2005,20
6,July,7,3,2005,20
7,August,8,3,2005,20
8,September,9,3,2005,20
9,October,10,4,2005,20
10,November,11,4,2005,20
11,December,12,4,2005,20
12,January,1,1,2006,20
13,February,2,1,2006,20
14,March,3,1,2006,20
15,April,4,2,2006,20
16,May,5,2,2006,20
17,June,6,2,2006,20
18,July,7,3,2006,20
19,August,8,3,2006,20
20,September,9,3,2006,20
21,October,10,4,2006,20
22,November,11,4,2006,20
23,December,12,4,2006,20
24,January,1,1,2007,20
25,February,2,1,2007,20
26,March,3,1,2007,20
27,April,4,2,2007,20
28,May,5,2,2007,20
29,June,6,2,2007,20
30,July,7,3,2007,20
31,August,8,3,2007,20
32,September,9,3,2007,20
33,October,10,4,2007,20
34,November,11,4,2007,20
35,December,12,4,2007,20
36,January,1,1,2008,20
37,February,2,1,2008,20
38,March,3,1,2008,20
39,April,4,2,2008,20
40,May,5,2,2008,20
41,June,6,2,2008,20
42,July,7,3,2008,20
43,August,8,3,2008,20
44,September,9,3,2008,20
45,October,10,4,2008,20
46,November,11,4,2008,20
47,December,12,4,2008,20
48,January,1,1,2009,20
49,February,2,1,2009,20
50,March,3,1,2009,20
51,April,4,2,2009,20
52,May,5,2,2009,20
53,June,6,2,2009,20
54,July,7,3,2009,20
55,August,8,3,2009,20
56,September,9,3,2009,20
57,October,10,4,2009,20
58,November,11,4,2009,20
59,December,12,4,2009,20
60,January,1,1,2010,21
61,February,2,1,2010,21
62,March,3,1,2010,21
63,April,4,2,2010,21
64,May,5,2,2010,21
65,June,6,2,2010,21
66,July,7,3,2010,21
67,August,8,3,2010,21
68,September,9,3,2010,21
69,October,10,4,2010,21
70,November,11,4,2010,21
71,December,12,4,2010,21
72,January,1,1,2011,21
73,February,2,1,2011,21
74,March,3,1,2011,21
75,April,4,2,2011,21
76,May,5,2,2011,21
77,June,6,2,2011,21
78,July,7,3,2011,21
79,August,8,3,2011,21
80,September,9,3,2011,21
81,October,10,4,2011,21
82,November,11,4,2011,21
83,December,12,4,2011,21
84,January,1,1,2012,21
85,February,2,1,2012,21
86,March,3,1,2012,21
87,April,4,2,2012,21
88,May,5,2,2012,21
89,June,6,2,2012,21
90,July,7,3,2012,21
91,August,8,3,2012,21
92,September,9,3,2012,21
93,October,10,4,2012,21
94,November,11,4,2012,21
95,December,12,4,2012,21
96,January,1,1,2013,21
97,February,2,1,2013,21
98,March,3,1,2013,21
99,April,4,2,2013,21
100,May,5,2,2013,21
101,June,6,2,2013,21
102,July,7,3,2013,21
103,August,8,3,2013,21
104,September,9,3,2013,21
105,October,10,4,2013,21
106,November,11,4,2013,21
107,December,12,4,2013,21
108,January,1,1,2014,21
109,February,2,1,2014,21
110,March,3,1,2014,21
111,April,4,2,2014,21
112,May,5,2,2014,21
113,June,6,2,2014,21
114,July,7,3,2014,21
115,August,8,3,2014,21
116,September,9,3,2014,21
117,October,10,4,2014,21
118,November,11,4,2014,21
119,December,12,4,2014,21
120,January,1,1,2015,21
121,February,2,1,2015,21
122,March,3,1,2015,21
123,April,4,2,2015,21
124,May,5,2,2015,21
125,June,6,2,2015,21
126,July,7,3,2015,21
127,August,8,3,2015,21
128,September,9,3,2015,21
129,October,10,4,2015,21
130,November,11,4,2015,21
131,December,12,4,2015,21
132,January,1,1,2016,21
133,February,2,1,2016,21
134,March,3,1,2016,21
135,April,4,2,2016,21
136,May,5,2,2016,21
137,June,6,2,2016,21
138,July,7,3,2016,21
139,August,8,3,2016,21
140,September,9,3,2016,21
141,October,10,4,2016,21
142,November,11,4,2016,21
143,December,12,4,2016,21
144,January,1,1,2017,21
145,February,2,1,2017,21
146,March,3,1,2017,21
147,April,4,2,2017,21
148,May,5,2,2017,21
149,June,6,2,2017,21
150,July,7,3,2017,21
151,August,8,3,2017,21
152,September,9,3,2017,21
153,October,10,4,2017,21
154,November,11,4,2017,21
155,December,12,4,2017,21
156,January,1,1,2018,21
157,February,2,1,2018,21
158,March,3,1,2018,21
159,April,4,2,2018,21
160,May,5,2,2018,21
161,June,6,2,2018,21
162,July,7,3,2018,21
163,August,8,3,2018,21
164,September,9,3,2018,21
165,October,10,4,2018,21
166,November,11,4,2018,21
167,December,12,4,2018,21
168,January,1,1,2019,21
169,February,2,1,2019,21
170,March,3,1,2019,21
171,April,4,2,2019,21
172,May,5,2,2019,21
173,June,6,2,2019,21
174,July,7,3,2019,21
175,August,8,3,2019,21
176,September,9,3,2019,21
177,October,10,4,2019,21
178,November,11,4,2019,21
179,December,12,4,2019,21
180,January,1,1,2020,22
181,February,2,1,2020,22
182,March,3,1,2020,22
183,April,4,2,2020,22
184,May,5,2,2020,22
185,June,6,2,2020,22
186,July,7,3,2020,22
187,August,8,3,2020,22
188,September,9,3,2020,22
189,October,10,4,2020,22
190,November,11,4,2020,22
191,December,12,4,2020,22
